"id","outter_name"
"9454","星瑞L"
"20135","MG ES5"
"24613","依途T600"
"25253","银河星舰7 EM-i"
"218","奔驰A级(进口)"
"4228","汉DM"
"4981","元Pro"
"5367","炫界Pro EV"
"5825","Eletre"
"6150","江南U2"
"8949","鑫源T5L EV"
"24699","隆翠系列"
"24927","五菱之光EV"
"1255","Model X"
"4535","荣威iMAX8"
"5210","传祺GS4 PLUS"
"5828","MG4 EV"
"6196","拓锐斯特V-Class"
"9131","极石01"
"9271","祥菱Q"
"20070","克慕勒阿尔法"
"24706","星浩"
"24749","予风EV50客运版"
"25094","日产N7"
"1016","马自达CX-5"
"1777","依维柯欧胜"
"1810","风行S50 EV"
"2849","捷途X90"
"2887","宋MAX DM"
"4890","福特电马"
"4903","拓陆者驭途 EV"
"5296","跨越王F3"
"24659","蓝电E5 PLUS"
"24980","克罗拉多系列"
"24995","星舰"
"25433","长安猎手K50"
"153","Panamera E-Hybrid"
"4593","翼放ES5"
"4755","思皓A5"
"5802","风行雷霆"
"5887","锐胜王牌EM7"
"8903","克慕勒GLS"
"24991","公羊RAM"
"25042","S系列"
"1455","逸动"
"4334","奥迪Q4 e-tron"
"4861","奔腾NAT"
"6028","安凯Q5"
"9184","传祺E8 PHEV"
"24677","B311系列"
"25050","图雅诺系列"
"135","宝马M3"
"547","普拉多"
"877","Huracán"
"2311","江淮iEVA50"
"4919","橙仕01"
"5525","芒果Pro"
"9507","大力牛魔王D05"
"9673","T30探险家"
"24687","自由风"
"25144","予风黄金仓"
"262","奔驰SL级AMG"
"1567","奔奔mini-e"
"4563","哈弗大狗"
"5228","法拉利296"
"5270","瑞驰EC71"
"5453","风行S60 EV"
"8859","银河L6"
"24635","V-900系列"
"24692","腾势Z9 EV"
"25034","M2系列"
"848","优优"
"1422","英菲尼迪Q50L"
"4649","思皓E50A"
"4673","拓陆者驭途EV"
"5790","龙耀6"
"8934","赛图斯"
"8980","凌际威途"
"9018","新海豚 EV"
"24788","银河星舰7 EM-i"
"24948","轻卡系列"
"25047","奥铃系列"
"44","MINI JCW"
"132","宝马Z4"
"471","东风小康C35"
"804","金杯快运"
"1793","菱智M5 EV"
"2813","风光ix5"
"4416","奔奔E-Star"
"6013","卡路里"
"24627","V-500系列"
"24724","图乐系列"
"25475","瑞擎V6"
"4201","海马7X"
"4276","启辰星"
"4744","飞碟Q2V"
"5552","东风小康D72 PLUS"
"8984","览拓者EV"
"9683","长安X5 PLUS"
"25206","风云A8L"
"3166","Polestar 2"
"5027","新龙马汽车启腾龙7"
"5060","新豹T1"
"5153","启辰大V"
"5855","江豚"
"24586","吉利第4代帝豪(刘阳)"
"24967","远征者系列"
"67","阿斯顿·马丁DBS"
"224","奔驰S级"
"1920","TAGA达咖"
"3115","奥迪e-tron GT"
"4583","大将军G9"
"6068","海狮07EV"
"9275","Emeya"
"9350","福特烈马"
"9829","大家7超混"
"24647","V-900系列"
"25035","K系列"
"25328","红旗国悦REEV"
"25397","焜驰威霆"
"252","奔驰E级AMG"
"1475","欧诺S"
"1647","北京越野BJ90"
"2779","斯威G01"
"6154","昊铂SSR"
"8959","坦克300 Hi4-T"
"9810","钱多多"
"10122","红旗国雅"
"24640","V-900系列"
"32","MG6"
"3863","新豹T3"
"4211","宝马i4"
"4284","探险者"
"4574","江淮轿卡X5售货车"
"4883","TAGA达咖H"
"4986","凌放HARRIER"
"5520","瑞虎8 PRO"
"9136","雷驰·仁T30"
"9349","eπ007"
"25349","捷途X90 C-DM"
"4179","大通FCV80"
"4668","奔驰EQS"
"5031","奕炫MAX"
"8943","捷途山海T2"
"9117","北汽泰普V级"
"9778","ZEEKR 7X"
"25025","卡居系列"
"347","君越"
"1636","丰田C-HR"
"4798","瑞风L6 MAX"
"5213","博腾V2"
"5343","问界M5"
"5364","奥迪Q6"
"6044","领地"
"8801","迈巴赫S级 PHEV"
"9270","祥菱Q EV"
"25004","高歌"
"25046","挑战者系列"
"25113","吉运E6"
"25351","图雅诺X5"
"25408","捷途X70 PLUS C-DM"
"341","标致5008"
"891","雷克萨斯NX"
"1437","英菲尼迪QX80"
